DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
111,2008-05-29,2008,5,May,29,Thursday,1
112,2008-05-30,2008,5,May,30,Friday,1
113,2008-05-31,2008,5,May,31,Saturday,1
114,2008-06-01,2008,6,June,1,Sunday,1
115,2008-06-02,2008,6,June,2,Monday,1
116,2008-06-03,2008,6,June,3,Tuesday,1
117,2008-06-09,2008,6,June,9,Monday,1
118,2008-08-07,2008,8,August,7,Thursday,1
119,2008-06-10,2008,6,June,10,Tuesday,1
120,2008-06-11,2008,6,June,11,Wednesday,1
121,2008-06-12,2008,6,June,12,Thursday,1
122,2008-06-13,2008,6,June,13,Friday,1
123,2008-07-18,2008,7,July,18,Friday,1
124,2008-06-14,2008,6,June,14,Saturday,1
125,2008-06-15,2008,6,June,15,Sunday,1
126,2008-06-16,2008,6,June,16,Monday,1
127,2008-06-17,2008,6,June,17,Tuesday,1
128,2008-06-18,2008,6,June,18,Wednesday,1
129,2008-06-19,2008,6,June,19,Thursday,1
130,2008-06-20,2008,6,June,20,Friday,1
131,2008-06-25,2008,6,June,25,Wednesday,1
132,2008-06-26,2008,6,June,26,Thursday,1
133,2008-06-28,2008,6,June,28,Saturday,1
134,2008-06-29,2008,6,June,29,Sunday,1
135,2008-07-01,2008,7,July,1,Tuesday,1
136,2008-07-02,2008,7,July,2,Wednesday,1
137,2008-07-03,2008,7,July,3,Thursday,1
138,2008-07-05,2008,7,July,5,Saturday,1
139,2008-07-06,2008,7,July,6,Sunday,1
140,2008-07-08,2008,7,July,8,Tuesday,1
141,2008-07-10,2008,7,July,10,Thursday,1
142,2008-07-11,2008,7,July,11,Friday,1
143,2008-07-13,2008,7,July,13,Sunday,1
144,2008-07-14,2008,7,July,14,Monday,1
145,2008-07-16,2008,7,July,16,Wednesday,1
146,2008-07-17,2008,7,July,17,Thursday,1
147,2008-07-19,2008,7,July,19,Saturday,1
148,2008-07-21,2008,7,July,21,Monday,1
149,2008-07-22,2008,7,July,22,Tuesday,1
150,2008-07-23,2008,7,July,23,Wednesday,1
151,2008-07-24,2008,7,July,24,Thursday,1
152,2008-07-26,2008,7,July,26,Saturday,1
153,2008-07-27,2008,7,July,27,Sunday,1
154,2008-07-28,2008,7,July,28,Monday,1
155,2008-07-29,2008,7,July,29,Tuesday,1
156,2008-07-31,2008,7,July,31,Thursday,1
157,2008-08-01,2008,8,August,1,Friday,1
